//------------// Wild Enconters //------------//

//--- General Changes ---//

-> All exclusive pokemons from Ruby and Sapphire added on their respective locations: Surskit, Meditite, Medicham, Roselia, Zangoose, Lunatone
-> All non-lengendary pokemons from the regional pokedex are found before the elite 4

//--- Detailed Changes ---//

-- Route 102 --

Lotad: 20% -> 10%
Seedot: 1% -> 10%
Ralts: 4% -> 1%
Surskit: 0% -> 4%

//Surf//
Marill: 99% -> 30%
Goldeen: 1% -> 10%
Surskit: 0% -> 30%
Wingull: 0% -> 10%
Masquerain: 0% -> 10%
Azumarill: 0% -> 5%
Seaking: 0% -> 5%


- Good Rod
Magikarp: 60% -> 40%
Goldeen: 20% -> 40%
Barboach: 20% -> 4%
Luvdisc: 0% -> 10%
Corphish: 0% -> 5%
Seaking: 0% -> 1%

- Super Rod
Corphish: 100% -> 30%
Luvdisc: 0% -> 30%
Seaking: 0% -> 10%
Barboach: 0% -> 20%
Clamperl: 0% -> 8%
Feebas: 0% -> 2%



-- Route 103 --

//Surf//
Tentacool: 60% -> 30%
Wingull: 35% -> 10%
Goldeen: 0% -> 10%
Surskit: 0% -> 30%
Masquerain: 0% -> 10%
Seaking: 0% -> 10%

- Good Rod
Magikarp: 60% -> 40%
Tentacool: 20% -> 40%
Wailmer: 20% -> 0%
Barboach: 0% -> 4%
Luvdisc: 0% -> 10%
Corphish: 0% -> 5%
Seaking: 0% -> 1%

- Super Rod
Wailmer: 60% -> 0%
Sharpedo: 40% -> 0%
Corphish: 0% -> 30%
Luvdisc: 0% -> 30%
Seaking: 0% -> 10%
Barboach: 0% -> 20%
Clamperl: 0% -> 8%
Feebas: 0% -> 2%

-- Petalburg City --

//Surf//
Marill: 100% -> 40%
Magikarp: 0% -> 30%
Goldeen: 0% -> 20%
Azumarill: 0% -> 5%
Seaking: 0% -> 5%


//Fishing//
- Good Rod
Magikarp: 60% -> 40%
Goldeen: 20% -> 40%
Barboach: 20% -> 4%
Luvdisc: 0% -> 10%
Corphish: 0% -> 5%
Seaking: 0% -> 1%

- Super Rod
Corphish: 100% -> 30%
Luvdisc: 0% -> 30%
Seaking: 0% -> 5%
Tentacruel: 0% -> 5%
Barboach: 0% -> 20%
Clamperl: 0% -> 8%
Feebas: 0% -> 2%



-- Route 104 --

//Surf//
Tentacool: 0% -> 30%
Wingull: 95% -> 30%
Magikarp: 0% -> 30%
Azumarill: 0% -> 5%


- Old Rod
Magikarp: 100% -> 60%
Tentacool: 0% -> 30%

- Good Rod
Magikarp: 100% -> 40%
Tentacool: 0% -> 40%
Barboach: 0% -> 4%
Luvdisc: 0% -> 10%
Corphish: 0% -> 5%
Seaking: 0% -> 1%

- Super Rod
Magikarp: 100% -> 0%
Luvdisc: 0% -> 30%
Staryu: 0% -> 30%
Carvanha: 0% -> 10%
Barboach: 0% -> 20%
Clamperl: 0% -> 5%
Horsea: 0% -> 5%



-- Rustboro City --

Trade: Order switched -> Trade Seedot to get a Ralts


-- Route 116 --

Skitty: 2% -> 20%
Whismur: 20% -> 0%
Abra: 10% -> 12%


-- Rusturf Tunnel --

Whismur: 100% -> 70%
Geodude: 0% -> 30%



-- Route 105 --

//Surf//
Tentacool: 60% -> 30%
Wingull: 35% -> 30%
Magikarp: 0% -> 30%
Tentacruel: 0% -> 5%

  
- Good Rod
Magikarp: 60% -> 40%
Tentacool: 20% -> 40%
Wailmer: 20% -> 5%
Starmie: 0% -> 5%
Luvdisc: 0% -> 10%

- Super Rod
Wailmer: 100% -> 20%
Luvdisc: 0% -> 30%
Staryu: 0% -> 30%
Carvanha: 0% -> 10%
Clamperl: 0% -> 5%
Horsea: 0% -> 5%


-- Route 106 --

//Surf//
Tentacool: 60% -> 30%
Wingull: 35% -> 30%
Magikarp: 0% -> 30%
Tentacruel: 0% -> 5%

  
- Good Rod
Magikarp: 60% -> 40%
Tentacool: 20% -> 40%
Wailmer: 20% -> 5%
Starmie: 0% -> 5%
Luvdisc: 0% -> 10%

- Super Rod
Wailmer: 100% -> 20%
Luvdisc: 0% -> 30%
Staryu: 0% -> 30%
Carvanha: 0% -> 10%
Clamperl: 0% -> 5%
Horsea: 0% -> 5%



-- Dewford Town --

//Surf//
Tentacool: 60% -> 30%
Wingull: 35% -> 30%
Azumarill: 0% -> 5%

//Fishing//

- Good Rod
Tentacool: 30% -> 40%
Magikarp: 60% -> 40%
Luvdisc: 0% -> 10%
Barboach: 0% -> 5%
Staryu: 0% -> 5%

- Super Rod
Wailmer: 100% -> 0%
Luvdisc: 0% -> 30%
Staryu: 0% -> 30%
Carvanha: 0% -> 10%
Barboach: 0% -> 20%
Clamperl: 0% -> 5%
Horsea: 0% -> 5%


-- Granite Cave B1F --

Aron: 40% -> 30%
Mawile: 0% -> 10%


-- Granite Cave B2F --

Aron: 40% -> 20%
Mawile: 0% -> 20%


-- Route 107 --

//Surf//
Tentacool: 60% -> 30%
Wingull: 35% -> 30%
Magikarp: 0% -> 30%
Tentacruel: 0% -> 5%

  
- Good Rod
Magikarp: 60% -> 40%
Tentacool: 20% -> 40%
Wailmer: 20% -> 5%
Starmie: 0% -> 5%
Luvdisc: 0% -> 10%

- Super Rod
Wailmer: 100% -> 20%
Luvdisc: 0% -> 30%
Staryu: 0% -> 30%
Carvanha: 0% -> 10%
Clamperl: 0% -> 5%
Horsea: 0% -> 5%


-- Route 108 --

//Surf//
Tentacool: 60% -> 30%
Wingull: 35% -> 30%
Magikarp: 0% -> 30%
Tentacruel: 0% -> 5%

  
- Good Rod
Magikarp: 60% -> 40%
Tentacool: 20% -> 40%
Wailmer: 20% -> 5%
Starmie: 0% -> 5%
Luvdisc: 0% -> 10%

- Super Rod
Wailmer: 100% -> 20%
Luvdisc: 0% -> 30%
Staryu: 0% -> 30%
Carvanha: 0% -> 10%
Clamperl: 0% -> 5%
Horsea: 0% -> 5%


-- Route 109 --

//Surf//
Tentacool: 60% -> 30%
Wingull: 35% -> 30%
Magikarp: 0% -> 30%
Azumarill: 0% -> 5%	

- Good Rod
Magikarp: 60% -> 40%
Tentacool: 20% -> 40%
Wailmer: 20% -> 0%
